transaction_id,bank,error_code,payment_network,amount_inr,failed_at
68b49d91,HDFC,insufficient_funds,Mastercard,499,2026-08-01T09:00:00
f002f86c,Kotak,timeout,Mastercard,2999,2026-08-01T09:02:00
0740e0e6,ICICI,hard_decline,UPI_AUTOPAY,999,2026-08-01T09:06:00
26bae759,SBI,insufficient_funds,UPI_AUTOPAY,1499,2026-08-01T09:07:00
a0697add,Kotak,insufficient_funds,Mastercard,299,2026-08-01T09:18:00
d9776063,Axis,insufficient_funds,UPI_AUTOPAY,4999,2026-08-01T09:19:00
7395aad1,ICICI,issuer_unavailable,UPI_AUTOPAY,299,2026-08-01T09:21:00
214c6969,Kotak,issuer_unavailable,UPI_AUTOPAY,2999,2026-08-01T09:21:00
abc1b521,HDFC,hard_decline,UPI_AUTOPAY,999,2026-08-01T09:22:00
b4cf90e2,SBI,insufficient_funds,RuPay,999,2026-08-01T09:25:00
f1114ca2,ICICI,timeout,Mastercard,199,2026-08-01T09:27:00
72fe0e94,HDFC,insufficient_funds,Mastercard,1499,2026-08-01T09:32:00
96781c13,SBI,insufficient_funds,UPI_AUTOPAY,199,2026-08-01T09:35:00
97e18f75,Axis,hard_decline,Visa,299,2026-08-01T09:35:00
83453aa4,Kotak,timeout,Visa,999,2026-08-01T09:35:00
780b3321,Axis,hard_decline,UPI_AUTOPAY,199,2026-08-01T09:49:00
455d0703,ICICI,timeout,UPI_AUTOPAY,999,2026-08-01T09:51:00
2feef06c,SBI,insufficient_funds,UPI_AUTOPAY,4999,2026-08-01T09:52:00
b2acd659,Kotak,timeout,UPI_AUTOPAY,999,2026-08-01T09:55:00
8e8f19fb,HDFC,issuer_unavailable,UPI_AUTOPAY,999,2026-08-01T10:03:00
6415df5f,Kotak,issuer_unavailable,UPI_AUTOPAY,2999,2026-08-01T10:06:00
fdcc42d3,ICICI,timeout,Visa,999,2026-08-01T10:08:00
f03893e8,Kotak,issuer_unavailable,UPI_AUTOPAY,4999,2026-08-01T10:08:00
0fd65716,ICICI,timeout,UPI_AUTOPAY,299,2026-08-01T10:13:00
ea8d0e20,Axis,insufficient_funds,UPI_AUTOPAY,1499,2026-08-01T10:19:00
e20bfe24,ICICI,insufficient_funds,RuPay,1499,2026-08-01T10:21:00
de7b2ea7,SBI,timeout,UPI_AUTOPAY,2999,2026-08-01T10:25:00
832b2453,Kotak,issuer_unavailable,RuPay,299,2026-08-01T10:27:00
9b50aded,Axis,insufficient_funds,UPI_AUTOPAY,1499,2026-08-01T10:29:00
b57a795c,SBI,timeout,Visa,999,2026-08-01T10:30:00
9d7b666c,HDFC,timeout,Visa,299,2026-08-01T10:32:00
94e8fdce,Kotak,insufficient_funds,RuPay,2999,2026-08-01T10:33:00
819dd3ae,HDFC,timeout,Visa,299,2026-08-01T10:34:00
0edd3e11,HDFC,hard_decline,Visa,999,2026-08-01T10:47:00
f8f2692a,SBI,hard_decline,UPI_AUTOPAY,499,2026-08-01T10:49:00
e0e9a2e2,Axis,timeout,UPI_AUTOPAY,199,2026-08-01T10:50:00
71b44452,HDFC,insufficient_funds,RuPay,2999,2026-08-01T10:56:00
c600c066,SBI,timeout,UPI_AUTOPAY,499,2026-08-01T11:09:00
ada85de4,SBI,timeout,Mastercard,1499,2026-08-01T11:11:00
df47a51a,Axis,issuer_unavailable,Visa,4999,2026-08-01T11:13:00
69161a71,HDFC,insufficient_funds,Mastercard,2999,2026-08-01T11:20:00
4a4d707b,HDFC,insufficient_funds,UPI_AUTOPAY,999,2026-08-01T11:20:00
6962edd7,Kotak,hard_decline,UPI_AUTOPAY,999,2026-08-01T11:22:00
6c9e6d98,ICICI,insufficient_funds,Visa,499,2026-08-01T11:23:00
e8cc3537,ICICI,timeout,RuPay,499,2026-08-01T11:23:00
c9ed0a76,ICICI,insufficient_funds,Visa,999,2026-08-01T11:27:00
83cf76c3,Axis,hard_decline,Visa,999,2026-08-01T11:33:00
f4b71639,HDFC,issuer_unavailable,Visa,2999,2026-08-01T11:39:00
b9d71fff,HDFC,timeout,UPI_AUTOPAY,1499,2026-08-01T11:42:00
adbd321b,Axis,insufficient_funds,RuPay,4999,2026-08-01T11:42:00
1ed4cc6c,ICICI,insufficient_funds,RuPay,1499,2026-08-01T11:44:00
6ee784bf,SBI,issuer_unavailable,UPI_AUTOPAY,199,2026-08-01T11:48:00
13904a4a,ICICI,hard_decline,RuPay,499,2026-08-01T11:49:00
44d354e1,SBI,issuer_unavailable,RuPay,1499,2026-08-01T11:52:00
2dfb27d3,ICICI,insufficient_funds,UPI_AUTOPAY,199,2026-08-01T12:03:00
fa924e6f,Axis,issuer_unavailable,UPI_AUTOPAY,299,2026-08-01T12:04:00
42f05150,ICICI,hard_decline,UPI_AUTOPAY,299,2026-08-01T12:07:00
6284f13f,HDFC,hard_decline,Mastercard,299,2026-08-01T12:08:00
1a1feafc,ICICI,issuer_unavailable,RuPay,299,2026-08-01T12:09:00
f7dbbbf0,Axis,timeout,UPI_AUTOPAY,999,2026-08-01T12:10:00
0601682d,ICICI,timeout,Visa,299,2026-08-01T12:12:00
d91149ae,HDFC,timeout,UPI_AUTOPAY,299,2026-08-01T12:13:00
791a4072,Kotak,hard_decline,Visa,499,2026-08-01T12:24:00
f172a865,Axis,hard_decline,UPI_AUTOPAY,4999,2026-08-01T12:25:00
044f114d,Axis,hard_decline,Visa,299,2026-08-01T12:26:00
3d6a1c5d,Axis,insufficient_funds,Mastercard,499,2026-08-01T12:28:00
2a19485d,Axis,insufficient_funds,Visa,1499,2026-08-01T12:32:00
